Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
C1S		ENSG00000182326	Complement C1s	12	6988259-7071032	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB016722, HPA018852	Supported		Approved	Nucleus<br>Cytosol	Renal cancer:7.44e-15 (unfavourable), Liver cancer:7.73e-4 (favourable)	Expressed in all	Expressed in all			liver: 1326.7	Cell line enhanced		ASC diff: 521.6;ASC TERT1: 703.0;BJ hTERT+: 271.2;HSkMC: 390.5
C3	ARMD9, C3a, C3b, CPAMD1	ENSG00000125730	Complement C3	19	6677704-6730562	Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA003563, CAB004209, HPA020432	Enhanced				Renal cancer:1.09e-5 (unfavourable), Liver cancer:8.11e-4 (favourable)	Expressed in all	Expressed in all			liver: 2486.8	Group enriched	6	BJ hTERT+: 287.5;EFO-21: 689.2;Hep G2: 539.6;HSkMC: 386.3;SiHa: 220.2
C4A	C4, C4A2, C4A3, C4A4, C4A6, C4B, C4S, CO4, CPAMD2, RG	ENSG00000244731	Complement C4A (Rodgers blood group)	6	31982024-32002681	Blood group antigen proteins, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB009811, CAB032603, HPA046356, HPA048287, HPA050103	Approved					Tissue enhanced	Tissue enhanced		liver: 46.1	thyroid gland: 28.2	Group enriched	8	HDLM-2: 49.4;HSkMC: 51.4;U-266/70: 12.8;U-266/84: 23.9
C4B	C4B1, C4B3, C4F, CH, CO4, CPAMD3	ENSG00000224389	Complement C4B (Chido blood group)	6	32014762-32035418	Blood group antigen proteins, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA046356, HPA048287, HPA050103	Approved					Tissue enhanced	Tissue enhanced		adrenal gland: 59.4;liver: 65.5	fallopian tube,kidney: 18.3	Cell line enriched	5	Karpas-707: 92.1
C5	C5a, C5b, CPAMD4	ENSG00000106804	Complement C5	9	120952335-121050276	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA029339	Uncertain				Liver cancer:9.43e-4 (favourable)	Tissue enriched	Tissue enriched	21	liver: 225.6	lung: 10.5	Cell line enhanced		A549: 25.6;Hep G2: 20.6
CA1	Car1	ENSG00000133742	Carbonic anhydrase 1	8	85327608-85379014	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA006558, CAB025790	Enhanced					Group enriched	Group enriched	30	bone marrow: 1216.6;colon: 1022.8;rectum: 2316.0	smooth muscle: 49.9	Cell line enriched	1560	HEL: 1145.7
CA14		ENSG00000118298	Carbonic anhydrase 14	1	150257159-150265078	Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA008482	Approved		Approved	Plasma membrane		Group enriched	Tissue enhanced		cerebral cortex: 10.6;seminal vesicle: 21.2	skeletal muscle: 9.4	Group enriched	23	AF22: 83.4;AN3-CA: 46.6;NTERA-2: 65.8;SK-MEL-30: 134.5
CA2	CA-II, CAII, Car2	ENSG00000104267	Carbonic anhydrase 2	8	85463852-85481493	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001550, CAB010102	Enhanced				Renal cancer:5.57e-6 (favourable)	Expressed in all	Tissue enhanced		colon: 604.8;rectum: 627.5;stomach: 918.8	kidney: 308.3	Group enriched	11	HaCaT: 204.1;HEK 293: 884.1;THP-1: 278.7
CA3	CAIII, Car3	ENSG00000164879	Carbonic anhydrase 3	8	85373436-85449040	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB004967, HPA021775, HPA026700	Enhanced				Breast cancer:4.24e-6 (favourable)	Group enriched	Tissue enriched	13	skeletal muscle: 1838.7	prostate: 138.3	Group enriched	34	HEL: 44.2;RH-30: 77.2
CA4	CAIV, Car4, RP17	ENSG00000167434	Carbonic anhydrase 4	17	60149936-60170899	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA011089, HPA017258	Enhanced		Supported	Vesicles		Mixed	Tissue enhanced		colon: 253.5;rectum: 180.9	adipose tissue: 88.7	Not detected		
CA7		ENSG00000168748	Carbonic anhydrase 7	16	66844379-66854153	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA047237	Uncertain					Tissue enhanced	Tissue enhanced		colon: 54.6;rectum: 49.8	small intestine: 10.7	Cell line enhanced		REH: 1.0;SCLC-21H: 1.0;THP-1: 1.2
CACNA1A	APCA, CACNL1A4, Cav2.1, EA2, FHM, HPCA, MHP, MHP1, SCA6	ENSG00000141837	Calcium voltage-gated channel subunit alpha1 A	19	13206442-13633025	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA064258, HPA071902	Enhanced		Uncertain	Endoplasmic reticulum	Pancreatic cancer:4.32e-4 (favourable)	Mixed	Tissue enhanced		cerebral cortex: 15.1	stomach: 3.5	Group enriched	7	SCLC-21H: 56.1;U-87 MG: 26.1
CACNA1B	CACNL1A5, CACNN, Cav2.2	ENSG00000148408	Calcium voltage-gated channel subunit alpha1 B	9	137877789-138124624	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	HPA044347	Uncertain					Tissue enhanced	Group enriched	8	adrenal gland: 3.7;cerebral cortex: 14.8;fallopian tube: 4.9;testis: 7.6	prostate: 0.9	Cell line enriched	6	SCLC-21H: 23.0
CACNA1C	CACH2, CACN2, CACNL1A1, Cav1.2, CCHL1A1, LQT8, TS	ENSG00000151067	Calcium voltage-gated channel subunit alpha1 C	12	1970786-2697950	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA039796, CAB079031	Enhanced	Approved				Mixed	Tissue enhanced		smooth muscle: 30.9	endometrium: 26.2	Cell line enriched	17	HDLM-2: 188.9
CACNA1D	CACH3, CACN4, CACNL1A2, Cav1.3, CCHL1A2	ENSG00000157388	Calcium voltage-gated channel subunit alpha1 D	3	53328963-53813733	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	HPA020215	Uncertain		Approved	Nuclear membrane	Renal cancer:8.34e-8 (favourable)	Mixed	Mixed			fallopian tube: 13.5	Cell line enhanced		HMC-1: 19.6;RPMI-8226: 38.4;SK-BR-3: 7.4
CACNA1F	AIED, Cav1.4, CORDX3, CSNB2, CSNB2A, CSNBX2, JM8, JMC8, OA2	ENSG00000102001	Calcium voltage-gated channel subunit alpha1 F	X	49205063-49233371	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA068379	Supported					Not detected	Mixed			lymph node: 1.6	Cell line enhanced		U-266/70: 1.0
CACNA1G	Cav3.1, NBR13	ENSG00000006283	Calcium voltage-gated channel subunit alpha1 G	17	50561068-50627474	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	HPA004714	Uncertain					Mixed	Tissue enhanced		cerebral cortex: 10.5;cervix, uterine: 8.5	endometrium: 5.2	Cell line enhanced		A549: 8.5;SCLC-21H: 3.3
CACNA1H	Cav3.2	ENSG00000196557	Calcium voltage-gated channel subunit alpha1 H	16	1153121-1221772	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA039125	Approved		Approved	Nucleoplasm<br>Vesicles	Renal cancer:1.78e-5 (unfavourable), Pancreatic cancer:3.12e-5 (favourable)	Expressed in all	Tissue enhanced		ovary: 44.9	seminal vesicle: 39.1	Cell line enhanced		A549: 16.1;AN3-CA: 23.5;MCF7: 36.8;T-47d: 13.0
CACNA1I	Cav3.3	ENSG00000100346	Calcium voltage-gated channel subunit alpha1 I	22	39570753-39689737	FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level							Tissue enhanced	Tissue enhanced		cerebral cortex: 4.7;thyroid gland: 2.7	adrenal gland: 2.3	Cell line enhanced		SK-BR-3: 1.4;T-47d: 1.0
CACNA1S	CACNL1A3, Cav1.1, HOKPP, hypoPP, MHS5	ENSG00000081248	Calcium voltage-gated channel subunit alpha1 S	1	201039512-201112566	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	CAB009507, HPA048892, HPA056815	Enhanced					Tissue enhanced	Tissue enriched	34	skeletal muscle: 103.0	esophagus: 3.0	Group enriched	20	BEWO: 2.0;HSkMC: 1.9
CACNA2D1	CACNA2, CACNL2A, LINC01112, lncRNA-N3, MHS3	ENSG00000153956	Calcium voltage-gated channel auxiliary subunit alpha2delta 1	7	81946444-82443798	FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA008213, HPA008621	Enhanced				Renal cancer:1.16e-4 (unfavourable)	Mixed	Mixed			cerebral cortex: 35.4	Cell line enhanced		HUVEC TERT2: 45.6;SH-SY5Y: 66.1
CACNA2D2	KIAA0558	ENSG00000007402	Calcium voltage-gated channel auxiliary subunit alpha2delta 2	3	50362799-50504244	FDA approved drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA034771, HPA071829	Enhanced		Approved	Vesicles	Endometrial cancer:7.62e-5 (unfavourable), Pancreatic cancer:1.21e-4 (favourable)	Tissue enhanced	Tissue enriched	6	lung: 72.9	testis: 12.4	Cell line enriched	8	SH-SY5Y: 201.7
CACNB1	CACNLB1	ENSG00000067191	Calcium voltage-gated channel auxiliary subunit beta 1	17	39173456-39197703	FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA023343	Approved				Endometrial cancer:3.80e-4 (unfavourable)	Mixed	Group enriched	6	cerebral cortex: 46.7;skeletal muscle: 108.5	skin: 12.3	Mixed		
CACNB2	CACNLB2, MYSB	ENSG00000165995	Calcium voltage-gated channel auxiliary subunit beta 2	10	18140677-18541869	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA035325, HPA035326	Uncertain				Renal cancer:3.56e-5 (favourable)	Mixed	Mixed			cerebral cortex: 26.3	Cell line enhanced		HAP1: 8.3;HSkMC: 7.1
CACNB3	CACNLB3	ENSG00000167535	Calcium voltage-gated channel auxiliary subunit beta 3	12	48813794-48828941	FDA approved drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA059515			Approved	Golgi apparatus<br>Vesicles		Mixed	Mixed			endometrium: 40.0	Cell line enhanced		U-937: 85.2
CACNB4	EJM4	ENSG00000182389	Calcium voltage-gated channel auxiliary subunit beta 4	2	151832768-152099475	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA015601	Approved					Mixed	Tissue enhanced		cerebral cortex: 25.9	skin: 8.0	Cell line enhanced		HMC-1: 17.7
CACNG1	CACNLG	ENSG00000108878	Calcium voltage-gated channel auxiliary subunit gamma 1	17	67044590-67056797	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level							Tissue enhanced	Tissue enriched	25	skeletal muscle: 113.4	esophagus: 4.4	Cell line enhanced		HSkMC: 2.2;SH-SY5Y: 1.0
CALY	CALCYON, DRD1IP, NSG3	ENSG00000130643	Calcyon neuron specific vesicular protein	10	133324072-133336935	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA042283	Enhanced				Pancreatic cancer:3.54e-4 (favourable)	Group enriched	Group enriched	13	adrenal gland: 23.5;cerebral cortex: 77.1	testis: 3.8	Not detected		
CAMLG	CAML, GET2	ENSG00000164615	Calcium modulating ligand	5	134738501-134752160	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA052636, HPA056472	Approved		Approved	Nucleus<br>Nucleoli<br>Vesicles	Renal cancer:1.09e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 99.6	Expressed in all		
CARTPT	CART	ENSG00000164326	CART prepropeptide	5	71719163-71721048	FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	CAB025515, HPA046278	Enhanced				Stomach cancer:4.36e-4 (unfavourable)	Tissue enriched	Tissue enriched	8	adrenal gland: 132.5	cerebral cortex: 17.4	Not detected		
CASR	FHH, GPRC2A, HHC, HHC1, NSHPT	ENSG00000036828	Calcium sensing receptor	3	122183683-122291629	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA039686, HPA050335	Enhanced					Tissue enriched	Tissue enriched	58	parathyroid gland: 1441.4	kidney: 24.6	Not detected		
CAT		ENSG00000121691	Catalase	11	34438925-34472062	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB001515, HPA051282, HPA055838	Enhanced		Supported	Vesicles<br>Cytosol	Renal cancer:1.96e-8 (favourable), Liver cancer:9.67e-4 (favourable)	Expressed in all	Expressed in all			liver: 625.4	Cell line enhanced		HL-60: 310.1
CCKAR		ENSG00000163394	Cholecystokinin A receptor	4	26481400-26490462	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level							Mixed	Group enriched	10	gallbladder: 47.2;stomach: 15.2	tonsil: 3.1	Not detected		
CCKBR		ENSG00000110148	Cholecystokinin B receptor	11	6259736-6272127	Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level							Tissue enriched	Group enriched	13	cerebral cortex: 13.6;pancreas: 5.4;stomach: 16.4	prostate: 0.9	Cell line enriched	8	NTERA-2: 69.8
CCL2	GDCF-2, HC11, MCAF, MCP-1, MCP1, MGC9434, SCYA2, SMC-CF	ENSG00000108691	C-C motif chemokine ligand 2	17	34255218-34257203	Cancer-related genes, Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB013676, HPA019163	Approved		Approved	Golgi apparatus<br>Vesicles	Renal cancer:4.51e-4 (unfavourable)	Expressed in all	Expressed in all			gallbladder: 411.3	Group enriched	5	BJ hTERT+: 1539.3;BJ hTERT+ SV40 Large T+ RasG12V: 503.9;HMC-1: 2137.8
CCND1	BCL1, D11S287E, PRAD1, U21B31	ENSG00000110092	Cyclin D1	11	69641087-69654474	Cancer-related genes, Disease related genes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB000024, HPA027802	Uncertain		Supported	Nucleoplasm	Pancreatic cancer:1.96e-4 (unfavourable), Head and neck cancer:5.51e-4 (unfavourable)	Expressed in all	Tissue enhanced		parathyroid gland: 340.4	skin: 140.5	Cell line enhanced		WM-115: 1198.2
CCR5	CC-CKR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	ENSG00000160791	C-C motif chemokine receptor 5 (gene/pseudogene)	3	46370854-46376206	CD markers, Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level						Endometrial cancer:7.42e-5 (favourable), Head and neck cancer:9.33e-5 (favourable)	Expressed in all	Mixed			appendix: 20.4	Group enriched	17	Karpas-707: 4.9;U-266/84: 2.1
CD19		ENSG00000177455	CD19 molecule	16	28931939-28939346	CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB016110	Enhanced					Mixed	Group enriched	11	appendix: 37.4;lymph node: 84.0;spleen: 47.4;tonsil: 68.3	urinary bladder: 5.5	Group enriched	40	Daudi: 103.6;REH: 70.5;U-698: 22.6
CD2	SRBC	ENSG00000116824	CD2 molecule	1	116754385-116769228	CD markers, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB002430, HPA003883	Enhanced				Renal cancer:4.82e-6 (unfavourable), Endometrial cancer:1.69e-5 (favourable), Melanoma:3.97e-5 (favourable), Head and neck cancer:7.46e-5 (favourable), Cervical cancer:1.47e-4 (favourable), Breast cancer:4.36e-4 (favourable), Ovarian cancer:7.72e-4 (favourable)	Expressed in all	Tissue enhanced		lymph node: 131.1	tonsil: 70.8	Group enriched	27	HDLM-2: 201.2;MOLT-4: 129.2
CD247	CD3H, CD3Q, CD3Z	ENSG00000198821	CD247 molecule	1	167430640-167518610	CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB004651, HPA008750	Enhanced				Endometrial cancer:8.63e-6 (favourable), Renal cancer:9.94e-6 (unfavourable), Head and neck cancer:3.98e-4 (favourable), Breast cancer:9.12e-4 (favourable)	Mixed	Tissue enhanced		lymph node: 65.1;spleen: 48.6	tonsil: 33.6	Group enriched	34	HDLM-2: 144.2;MOLT-4: 133.0
CD274	B7-H, B7-H1, B7H1, PD-L1, PDCD1LG1, PDL1	ENSG00000120217	CD274 molecule	9	5450503-5470566	Cancer-related genes, CD markers, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB030018, CAB076385	Enhanced		Approved	Cytosol	Colorectal cancer:1.64e-5 (favourable), Breast cancer:8.89e-4 (favourable)	Mixed	Mixed			appendix: 14.0	Cell line enhanced		HDLM-2: 82.8;HHSteC: 46.6;U-251 MG: 80.8
CD33	FLJ00391, p67, SIGLEC-3, SIGLEC3	ENSG00000105383	CD33 molecule	19	51225064-51243860	CD markers, FDA approved drug targets, Plasma proteins, Predicted membrane proteins	Evidence at protein level	CAB011442, HPA035832, HPA064807	Approved		Supported	Nucleus<br>Plasma membrane		Mixed	Tissue enhanced		spleen: 33.1	bone marrow: 20.9	Cell line enhanced		HEL: 77.8;HL-60: 92.6;HMC-1: 72.6;RPMI-8226: 43.3;THP-1: 45.3;U-937: 66.2
CD3D	T3D	ENSG00000167286	CD3d molecule	11	118338954-118342744	CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB013055	Enhanced				Endometrial cancer:1.73e-7 (favourable), Renal cancer:3.07e-5 (unfavourable), Cervical cancer:8.46e-5 (favourable), Head and neck cancer:1.70e-4 (favourable), Breast cancer:3.00e-4 (favourable), Urothelial cancer:6.16e-4 (favourable)	Expressed in all	Tissue enhanced		lymph node: 199.3;tonsil: 119.1	appendix: 86.9	Cell line enriched	7	MOLT-4: 903.0
CD3E		ENSG00000198851	CD3e molecule	11	118304545-118316175	CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB000010, HPA040957, HPA043955, CAB072863, CAB072864	Enhanced				Endometrial cancer:2.30e-6 (favourable), Renal cancer:1.12e-5 (unfavourable), Melanoma:1.18e-4 (favourable), Head and neck cancer:1.32e-4 (favourable), Cervical cancer:1.62e-4 (favourable), Breast cancer:1.72e-4 (favourable)	Expressed in all	Tissue enhanced		lymph node: 200.5;tonsil: 113.4	spleen: 95.0	Cell line enriched	92	MOLT-4: 531.3
